Date,City,Country,% Change In Waze Driven Miles/KMs
"Jun 28, 2020",Bristol,United Kingdom,-0.48
"Jun 28, 2020",Brussels,Belgium,-0.48
"Jun 28, 2020",Mississauga,Canada,-0.47
"Jun 28, 2020",Miami,United States,-0.47
"Jun 28, 2020",Austin,United States,-0.47
"Jun 28, 2020",Guadalajara,Mexico,-0.46
"Jun 28, 2020",Oakland,United States,-0.46
"Jun 28, 2020",Sao Paulo,Brazil,-0.46
"Jun 28, 2020",Orlando,United States,-0.46
"Jun 28, 2020",San Francisco,United States,-0.46
"Jun 28, 2020",Luton,United Kingdom,-0.46
"Jun 28, 2020",Los Angeles,United States,-0.44
"Jun 28, 2020",Manchester,United Kingdom,-0.44
"Jun 28, 2020",Boston,United States,-0.42
"Jun 28, 2020",San Antonio,United States,-0.42
"Jun 28, 2020",Rome,Italy,-0.41
"Jun 28, 2020",San Diego,United States,-0.41
"Jun 28, 2020",Guarulhos,Brazil,-0.4
"Jun 28, 2020",Houston,United States,-0.4
"Jun 28, 2020",Seattle,United States,-0.4
"Jun 28, 2020",Phoenix,United States,-0.39
"Jun 28, 2020",Pittsburgh,United States,-0.39
"Jun 28, 2020",Portland,United States,-0.38
"Jun 28, 2020",Baltimore,United States,-0.38
"Jun 28, 2020",Washington,United States,-0.38
"Jun 28, 2020",Denver,United States,-0.37
"Jun 28, 2020",Perth,Australia,-0.37
"Jun 28, 2020",South Tangerang,Indonesia,-0.37
"Jun 28, 2020",London,United Kingdom,-0.35
"Jun 28, 2020",Tangerang,Indonesia,-0.35
"Jun 28, 2020",San Jose,United States,-0.35
"Jun 28, 2020",Fort Lauderdale,United States,-0.35
"Jun 28, 2020",Lisbon,Portugal,-0.34
"Jun 28, 2020",Melbourne,Australia,-0.34
"Jun 28, 2020",Porto Alegre,Brazil,-0.34
"Jun 28, 2020",Doha,Qatar,-0.33
"Jun 28, 2020",Fortaleza,Brazil,-0.32
"Jun 28, 2020",Ottawa,Canada,-0.32
"Jun 28, 2020",Dallas,United States,-0.31
"Jun 28, 2020",Sacramento,United States,-0.31
"Jun 28, 2020",Amsterdam,Netherlands,-0.3
"Jun 28, 2020",New York,United States,-0.29
"Jun 28, 2020",Atlanta,United States,-0.29
"Jun 28, 2020",Fort Worth,United States,-0.26
"Jun 28, 2020",Warsaw,Poland,-0.26
"Jun 28, 2020",Toronto,Canada,-0.25
"Jun 28, 2020",Minneapolis,United States,-0.25
"Jun 28, 2020",Montevideo,Uruguay,-0.25
"Jun 28, 2020",Chicago,United States,-0.24
"Jun 28, 2020",Johor Bahru,Malaysia,-0.24
"Jun 28, 2020",Ghent,Belgium,-0.22
"Jun 28, 2020",Irvine,United States,-0.22
"Jun 28, 2020",Philadelphia,United States,-0.22
"Jun 28, 2020",Kuala Lumpur,Malaysia,-0.21
"Jun 28, 2020",Hartford,United States,-0.21
"Jun 28, 2020",Cape Town,South Africa,-0.2
"Jun 28, 2020",Charlotte,United States,-0.18
"Jun 28, 2020",Nashville,United States,-0.18
"Jun 28, 2020",Madrid,Spain,-0.18
"Jun 28, 2020",Singapore,Singapore,-0.18
"Jun 28, 2020",Raleigh,United States,-0.18
"Jun 28, 2020",Montreal,Canada,-0.16
"Jun 28, 2020",Detroit,United States,-0.14
"Jun 28, 2020",Sydney,Australia,-0.14
"Jun 28, 2020",Shah Alam,Malaysia,-0.13
"Jun 28, 2020",Calgary,Canada,-0.13
"Jun 28, 2020",Petaling Jaya,Malaysia,-0.12
"Jun 28, 2020",Gold Coast,Australia,-0.11
"Jun 28, 2020",Brisbane,Australia,-0.11
"Jun 28, 2020",Jersey City,United States,-0.11
"Jun 28, 2020",Petah Tikva,Israel,-0.09
"Jun 28, 2020",Liverpool,United Kingdom,-0.08
"Jun 28, 2020",Cincinnati,United States,-0.08
"Jun 28, 2020",Jerusalem,Israel,-0.08
"Jun 28, 2020",Rotterdam,Netherlands,-0.04
"Jun 28, 2020",Lille,France,-0.03
"Jun 28, 2020",Tel Aviv-Yafo,Israel,-0.02
"Jun 28, 2020",Quebec City,Canada,-0.02
"Jun 28, 2020",Antwerp,Belgium,0.0
"Jun 28, 2020",Paris,France,0.0
"Jun 28, 2020",Haifa,Israel,0.01
"Jun 28, 2020",Kaunas,Lithuania,0.01
"Jun 28, 2020",Hamilton,Canada,0.02
"Jun 28, 2020",Krakow,Poland,0.04
"Jun 28, 2020",Barcelona,Spain,0.05
"Jun 28, 2020",Cambridge,United States,0.05
"Jun 28, 2020",Berlin,Germany,0.05
"Jun 28, 2020",Be'er Sheva,Israel,0.06
"Jun 28, 2020",Ramat Gan,Israel,0.06
"Jun 28, 2020",Bratislava,Slovakia,0.07
"Jun 28, 2020",Brno,Czechia,0.1
"Jun 28, 2020",Milan,Italy,0.1
"Jun 28, 2020",Puchong,Malaysia,0.11
"Jun 28, 2020",Rishon Letsiyon,Israel,0.12
"Jun 28, 2020",Lyon,France,0.13
"Jun 28, 2020",Toulouse,France,0.13
"Jun 28, 2020",Riga,Latvia,0.15
"Jun 28, 2020",Stockholm,Sweden,0.16
"Jun 28, 2020",Budapest,Hungary,0.19
"Jun 28, 2020",Bucharest,Romania,0.2
"Jun 28, 2020",Ipoh,Malaysia,0.21
"Jun 28, 2020",Bordeaux,France,0.22
"Jun 28, 2020",Vaughan,Canada,0.22
"Jun 28, 2020",Prague,Czechia,0.26
"Jun 28, 2020",Lviv,Ukraine,0.26
"Jun 28, 2020",Marseille,France,0.36
"Jun 28, 2020",Vilnius,Lithuania,0.43
"Jun 28, 2020",Kyiv,Ukraine,0.46
"Jun 27, 2020",Florianopolis,Brazil,-0.75
"Jun 27, 2020",New Orleans,United States,-0.7
"Jun 27, 2020",Hartford,United States,-0.68
"Jun 27, 2020",Makati,Philippines,-0.68
"Jun 27, 2020",San Jose,Costa Rica,-0.68
"Jun 27, 2020",Vitoria,Brazil,-0.63
"Jun 27, 2020",Las Condes,Chile,-0.62
"Jun 27, 2020",Puebla City,Mexico,-0.62
"Jun 27, 2020",Salvador,Brazil,-0.62
"Jun 27, 2020",Mexico City,Mexico,-0.61
"Jun 27, 2020",Santiago,Chile,-0.6
"Jun 27, 2020",Brasilia,Brazil,-0.6
"Jun 27, 2020",Recife,Brazil,-0.6
"Jun 27, 2020",Buenos Aires,Argentina,-0.6
"Jun 27, 2020",Vaughan,Canada,-0.59
"Jun 27, 2020",Quito,Ecuador,-0.58
"Jun 27, 2020",Sacramento,United States,-0.57
"Jun 27, 2020",Cali,Colombia,-0.57
"Jun 27, 2020",Monterrey,Mexico,-0.57
"Jun 27, 2020",Jakarta,Indonesia,-0.56
"Jun 27, 2020",Austin,United States,-0.55
"Jun 27, 2020",Berlin,Germany,-0.55
"Jun 27, 2020",Tampa,United States,-0.55
"Jun 27, 2020",San Francisco,United States,-0.55
"Jun 27, 2020",Santiago De Queretaro,Mexico,-0.54
"Jun 27, 2020",Lima,Peru,-0.54
"Jun 27, 2020",Bogota,Colombia,-0.54
"Jun 27, 2020",Lisbon,Portugal,-0.53
"Jun 27, 2020",Miami,United States,-0.53
"Jun 27, 2020",Belo Horizonte,Brazil,-0.52
"Jun 27, 2020",Medellin,Colombia,-0.52
"Jun 27, 2020",Rio De Janeiro,Brazil,-0.52
"Jun 27, 2020",South Tangerang,Indonesia,-0.52
"Jun 27, 2020",Quezon City,Philippines,-0.52
"Jun 27, 2020",Zapopan,Mexico,-0.51
"Jun 27, 2020",Boston,United States,-0.51
"Jun 27, 2020",San Antonio,United States,-0.51
"Jun 27, 2020",San Jose,United States,-0.48
"Jun 27, 2020",Ottawa,Canada,-0.48
"Jun 27, 2020",Portland,United States,-0.48
"Jun 27, 2020",Fort Lauderdale,United States,-0.48
"Jun 27, 2020",Tangerang,Indonesia,-0.47
"Jun 27, 2020",Los Angeles,United States,-0.47
"Jun 27, 2020",Guarulhos,Brazil,-0.47
"Jun 27, 2020",Seattle,United States,-0.46
"Jun 27, 2020",Sao Paulo,Brazil,-0.46
"Jun 27, 2020",Guadalajara,Mexico,-0.46
"Jun 27, 2020",Orlando,United States,-0.45
"Jun 27, 2020",Washington,United States,-0.45
"Jun 27, 2020",Houston,United States,-0.45
"Jun 27, 2020",Birmingham,United Kingdom,-0.44
"Jun 27, 2020",Curitiba,Brazil,-0.44
"Jun 27, 2020",Minneapolis,United States,-0.44
"Jun 27, 2020",Detroit,United States,-0.42
"Jun 27, 2020",Milan,Italy,-0.42
"Jun 27, 2020",San Diego,United States,-0.41
"Jun 27, 2020",Dallas,United States,-0.41
"Jun 27, 2020",Denver,United States,-0.41
"Jun 27, 2020",Phoenix,United States,-0.41
"Jun 27, 2020",Cape Town,South Africa,-0.4
"Jun 27, 2020",Chicago,United States,-0.39
"Jun 27, 2020",Mississauga,Canada,-0.38
"Jun 27, 2020",Cambridge,United States,-0.38
"Jun 27, 2020",Rome,Italy,-0.38
"Jun 27, 2020",Manila,Philippines,-0.37
"Jun 27, 2020",Hamilton,Canada,-0.37
"Jun 27, 2020",Pittsburgh,United States,-0.36
"Jun 27, 2020",Sydney,Australia,-0.36
"Jun 27, 2020",Irvine,United States,-0.35
"Jun 27, 2020",Philadelphia,United States,-0.35
"Jun 27, 2020",Toronto,Canada,-0.35
"Jun 27, 2020",Calgary,Canada,-0.34
"Jun 27, 2020",Cincinnati,United States,-0.34
"Jun 27, 2020",Atlanta,United States,-0.34
"Jun 27, 2020",Melbourne,Australia,-0.34
"Jun 27, 2020",Doha,Qatar,-0.33
"Jun 27, 2020",Madrid,Spain,-0.33
"Jun 27, 2020",New York,United States,-0.32
"Jun 27, 2020",Manchester,United Kingdom,-0.32
"Jun 27, 2020",Porto Alegre,Brazil,-0.31
"Jun 27, 2020",Barcelona,Spain,-0.31
"Jun 27, 2020",Fortaleza,Brazil,-0.31
"Jun 27, 2020",Baltimore,United States,-0.31
"Jun 27, 2020",Fort Worth,United States,-0.31
"Jun 27, 2020",London,United Kingdom,-0.3
"Jun 27, 2020",Oakland,United States,-0.3
"Jun 27, 2020",Jersey City,United States,-0.29
"Jun 27, 2020",Johor Bahru,Malaysia,-0.29
"Jun 27, 2020",Brussels,Belgium,-0.29
"Jun 27, 2020",Nashville,United States,-0.28
"Jun 27, 2020",Raleigh,United States,-0.27
"Jun 27, 2020",Liverpool,United Kingdom,-0.27
"Jun 27, 2020",Lyon,France,-0.27
"Jun 27, 2020",Bristol,United Kingdom,-0.26
"Jun 27, 2020",Kuala Lumpur,Malaysia,-0.25
"Jun 27, 2020",Maipu,Chile,-0.24
"Jun 27, 2020",Charlotte,United States,-0.22
"Jun 27, 2020",Jerusalem,Israel,-0.21
"Jun 27, 2020",Warsaw,Poland,-0.21
"Jun 27, 2020",Luton,United Kingdom,-0.21
"Jun 27, 2020",Montreal,Canada,-0.19
"Jun 27, 2020",Amsterdam,Netherlands,-0.19
"Jun 27, 2020",Vilnius,Lithuania,-0.19
"Jun 27, 2020",Paris,France,-0.18
"Jun 27, 2020",Brno,Czechia,-0.17
"Jun 27, 2020",Shah Alam,Malaysia,-0.17
"Jun 27, 2020",Krakow,Poland,-0.17
"Jun 27, 2020",Quebec City,Canada,-0.16
"Jun 27, 2020",Petaling Jaya,Malaysia,-0.15
"Jun 27, 2020",Bucharest,Romania,-0.14
"Jun 27, 2020",Rishon Letsiyon,Israel,-0.14
"Jun 27, 2020",Puchong,Malaysia,-0.13
"Jun 27, 2020",Toulouse,France,-0.12
"Jun 27, 2020",Prague,Czechia,-0.12
"Jun 27, 2020",Be'er Sheva,Israel,-0.12
"Jun 27, 2020",Petah Tikva,Israel,-0.11
"Jun 27, 2020",Singapore,Singapore,-0.11
"Jun 27, 2020",Budapest,Hungary,-0.11
"Jun 27, 2020",Kaunas,Lithuania,-0.1
"Jun 27, 2020",Bekasi,Indonesia,-0.1
"Jun 27, 2020",Montevideo,Uruguay,-0.1
"Jun 27, 2020",Tel Aviv-Yafo,Israel,-0.09
"Jun 27, 2020",Perth,Australia,-0.08
"Jun 27, 2020",Rotterdam,Netherlands,-0.08
"Jun 27, 2020",Miami Beach,United States,-0.06
"Jun 27, 2020",Brisbane,Australia,-0.06
"Jun 27, 2020",Bordeaux,France,-0.06
"Jun 27, 2020",Haifa,Israel,-0.05
"Jun 27, 2020",Gold Coast,Australia,-0.05
"Jun 27, 2020",Ghent,Belgium,-0.02
"Jun 27, 2020",Stockholm,Sweden,-0.01
"Jun 27, 2020",Antwerp,Belgium,-0.01
"Jun 27, 2020",Riga,Latvia,-0.01
"Jun 27, 2020",Lille,France,-0.01
"Jun 27, 2020",Ipoh,Malaysia,0.05
"Jun 27, 2020",Ramat Gan,Israel,0.06
"Jun 27, 2020",Lviv,Ukraine,0.13
"Jun 27, 2020",Marseille,France,0.17
"Jun 27, 2020",Bratislava,Slovakia,0.21
"Jun 27, 2020",Kyiv,Ukraine,0.35
"Jun 26, 2020",Tangerang,Indonesia,-0.85
"Jun 26, 2020",Cali,Colombia,-0.81
"Jun 26, 2020",Manchester,United Kingdom,-0.76
"Jun 26, 2020",Bristol,United Kingdom,-0.75
"Jun 26, 2020",Brasilia,Brazil,-0.67
"Jun 26, 2020",Florianopolis,Brazil,-0.67
"Jun 26, 2020",Irvine,United States,-0.67
"Jun 26, 2020",Makati,Philippines,-0.64
"Jun 26, 2020",New Orleans,United States,-0.64
"Jun 26, 2020",Quito,Ecuador,-0.63
"Jun 26, 2020",Jakarta,Indonesia,-0.63
"Jun 26, 2020",Lima,Peru,-0.59
"Jun 26, 2020",Mexico City,Mexico,-0.58
"Jun 26, 2020",Puebla City,Mexico,-0.57
"Jun 26, 2020",Recife,Brazil,-0.57
"Jun 26, 2020",San Francisco,United States,-0.55
"Jun 26, 2020",Lisbon,Portugal,-0.54
"Jun 26, 2020",Minneapolis,United States,-0.54
"Jun 26, 2020",Medellin,Colombia,-0.54
"Jun 26, 2020",Monterrey,Mexico,-0.54
"Jun 26, 2020",Mississauga,Canada,-0.51
"Jun 26, 2020",Austin,United States,-0.51
"Jun 26, 2020",Salvador,Brazil,-0.51
"Jun 26, 2020",Bogota,Colombia,-0.51
"Jun 26, 2020",San Antonio,United States,-0.49
"Jun 26, 2020",Santiago De Queretaro,Mexico,-0.49
"Jun 26, 2020",Denver,United States,-0.49
"Jun 26, 2020",Las Condes,Chile,-0.49
"Jun 26, 2020",Fort Lauderdale,United States,-0.48
"Jun 26, 2020",San Jose,Costa Rica,-0.48
"Jun 26, 2020",Miami,United States,-0.48
"Jun 26, 2020",Tampa,United States,-0.48
"Jun 26, 2020",San Jose,United States,-0.47
"Jun 26, 2020",Houston,United States,-0.47
"Jun 26, 2020",Cape Town,South Africa,-0.47
"Jun 26, 2020",San Diego,United States,-0.47
"Jun 26, 2020",Los Angeles,United States,-0.47
"Jun 26, 2020",Phoenix,United States,-0.46
"Jun 26, 2020",Boston,United States,-0.46
"Jun 26, 2020",Milan,Italy,-0.46
"Jun 26, 2020",Buenos Aires,Argentina,-0.46
"Jun 26, 2020",Santiago,Chile,-0.45
"Jun 26, 2020",Orlando,United States,-0.45
"Jun 26, 2020",Rio De Janeiro,Brazil,-0.44
"Jun 26, 2020",Washington,United States,-0.44
"Jun 26, 2020",Zapopan,Mexico,-0.44
"Jun 26, 2020",Madrid,Spain,-0.44
"Jun 26, 2020",Guadalajara,Mexico,-0.43
"Jun 26, 2020",Dallas,United States,-0.42
"Jun 26, 2020",Doha,Qatar,-0.42
"Jun 26, 2020",Rome,Italy,-0.42
"Jun 26, 2020",Quezon City,Philippines,-0.41
"Jun 26, 2020",Manila,Philippines,-0.41
"Jun 26, 2020",Seattle,United States,-0.41
"Jun 26, 2020",Ottawa,Canada,-0.4
"Jun 26, 2020",Atlanta,United States,-0.4
"Jun 26, 2020",Belo Horizonte,Brazil,-0.4
"Jun 26, 2020",Oakland,United States,-0.39
"Jun 26, 2020",Miami Beach,United States,-0.38
"Jun 26, 2020",Chicago,United States,-0.38
"Jun 26, 2020",Cincinnati,United States,-0.38
"Jun 26, 2020",Luton,United Kingdom,-0.37
"Jun 26, 2020",Sao Paulo,Brazil,-0.37
"Jun 26, 2020",Bekasi,Indonesia,-0.37
"Jun 26, 2020",Sacramento,United States,-0.36
"Jun 26, 2020",Quebec City,Canada,-0.36
"Jun 26, 2020",Jersey City,United States,-0.36
"Jun 26, 2020",Portland,United States,-0.35
"Jun 26, 2020",Brussels,Belgium,-0.35
"Jun 26, 2020",Detroit,United States,-0.35
"Jun 26, 2020",Toronto,Canada,-0.35
"Jun 26, 2020",Fortaleza,Brazil,-0.34
"Jun 26, 2020",Baltimore,United States,-0.34
"Jun 26, 2020",Porto Alegre,Brazil,-0.33
"Jun 26, 2020",Philadelphia,United States,-0.33
"Jun 26, 2020",Curitiba,Brazil,-0.33
"Jun 26, 2020",Nashville,United States,-0.32
"Jun 26, 2020",Hartford,United States,-0.32
"Jun 26, 2020",Guarulhos,Brazil,-0.31
"Jun 26, 2020",Vaughan,Canada,-0.31
"Jun 26, 2020",Melbourne,Australia,-0.31
"Jun 26, 2020",Perth,Australia,-0.29
"Jun 26, 2020",Barcelona,Spain,-0.29
"Jun 26, 2020",Raleigh,United States,-0.28
"Jun 26, 2020",Charlotte,United States,-0.27
"Jun 26, 2020",New York,United States,-0.26
"Jun 26, 2020",Kaunas,Lithuania,-0.26
"Jun 26, 2020",Warsaw,Poland,-0.25
"Jun 26, 2020",Lyon,France,-0.25
"Jun 26, 2020",Montreal,Canada,-0.25
"Jun 26, 2020",Kuala Lumpur,Malaysia,-0.25
"Jun 26, 2020",Fort Worth,United States,-0.24
"Jun 26, 2020",Birmingham,United Kingdom,-0.23
"Jun 26, 2020",Johor Bahru,Malaysia,-0.23
"Jun 26, 2020",Vitoria,Brazil,-0.22
"Jun 26, 2020",Ghent,Belgium,-0.22
"Jun 26, 2020",Hamilton,Canada,-0.22
"Jun 26, 2020",Antwerp,Belgium,-0.22
"Jun 26, 2020",Petaling Jaya,Malaysia,-0.22
"Jun 26, 2020",Maipu,Chile,-0.19
"Jun 26, 2020",Singapore,Singapore,-0.19
"Jun 26, 2020",London,United Kingdom,-0.19
"Jun 26, 2020",Cambridge,United States,-0.19
"Jun 26, 2020",Sydney,Australia,-0.19
"Jun 26, 2020",Gold Coast,Australia,-0.18
"Jun 26, 2020",Puchong,Malaysia,-0.18
"Jun 26, 2020",Krakow,Poland,-0.17
"Jun 26, 2020",Amsterdam,Netherlands,-0.15
"Jun 26, 2020",Shah Alam,Malaysia,-0.15
"Jun 26, 2020",Liverpool,United Kingdom,-0.15
"Jun 26, 2020",Bratislava,Slovakia,-0.15
"Jun 26, 2020",Bordeaux,France,-0.14
"Jun 26, 2020",Petah Tikva,Israel,-0.13
"Jun 26, 2020",South Tangerang,Indonesia,-0.13
"Jun 26, 2020",Bucharest,Romania,-0.11
"Jun 26, 2020",Stockholm,Sweden,-0.11
"Jun 26, 2020",Berlin,Germany,-0.1
"Jun 26, 2020",Tel Aviv-Yafo,Israel,-0.09
"Jun 26, 2020",Lille,France,-0.09
"Jun 26, 2020",Budapest,Hungary,-0.09
"Jun 26, 2020",Toulouse,France,-0.08
"Jun 26, 2020",Riga,Latvia,-0.07
"Jun 26, 2020",Calgary,Canada,-0.06
"Jun 26, 2020",Paris,France,-0.06
"Jun 26, 2020",Be'er Sheva,Israel,-0.06
"Jun 26, 2020",Jerusalem,Israel,-0.05
"Jun 26, 2020",Montevideo,Uruguay,-0.05
"Jun 26, 2020",Haifa,Israel,-0.04
"Jun 26, 2020",Lviv,Ukraine,-0.04
"Jun 26, 2020",Pittsburgh,United States,-0.04
"Jun 26, 2020",Ipoh,Malaysia,-0.02
"Jun 26, 2020",Ramat Gan,Israel,-0.01
"Jun 26, 2020",Prague,Czechia,0.01
"Jun 26, 2020",Brisbane,Australia,0.01
"Jun 26, 2020",Vilnius,Lithuania,0.08
"Jun 26, 2020",Brno,Czechia,0.12
"Jun 26, 2020",Rishon Letsiyon,Israel,0.13
"Jun 26, 2020",Rotterdam,Netherlands,0.17
"Jun 26, 2020",Marseille,France,0.19
"Jun 26, 2020",Kyiv,Ukraine,0.52
"Jun 25, 2020",Vitoria,Brazil,-0.76
"Jun 25, 2020",Cambridge,United States,-0.74
"Jun 25, 2020",Brasilia,Brazil,-0.73
"Jun 25, 2020",Hartford,United States,-0.71
"Jun 25, 2020",Pittsburgh,United States,-0.67
"Jun 25, 2020",Florianopolis,Brazil,-0.65
"Jun 25, 2020",Cali,Colombia,-0.61
"Jun 25, 2020",Maipu,Chile,-0.6
"Jun 25, 2020",Lima,Peru,-0.59
"Jun 25, 2020",Mississauga,Canada,-0.58
"Jun 25, 2020",Monterrey,Mexico,-0.58
"Jun 25, 2020",Mexico City,Mexico,-0.58
"Jun 25, 2020",Makati,Philippines,-0.58
"Jun 25, 2020",Las Condes,Chile,-0.58
"Jun 25, 2020",Denver,United States,-0.56
"Jun 25, 2020",Salvador,Brazil,-0.56
"Jun 25, 2020",Lisbon,Portugal,-0.55
"Jun 25, 2020",Minneapolis,United States,-0.54
"Jun 25, 2020",Cape Town,South Africa,-0.54
"Jun 25, 2020",Austin,United States,-0.53
"Jun 25, 2020",Quito,Ecuador,-0.52
"Jun 25, 2020",Miami,United States,-0.52
"Jun 25, 2020",Medellin,Colombia,-0.52
"Jun 25, 2020",Santiago De Queretaro,Mexico,-0.52
"Jun 25, 2020",San Jose,Costa Rica,-0.52
"Jun 25, 2020",Irvine,United States,-0.52
"Jun 25, 2020",Jakarta,Indonesia,-0.51
"Jun 25, 2020",Bogota,Colombia,-0.51
"Jun 25, 2020",Buenos Aires,Argentina,-0.51
"Jun 25, 2020",Sacramento,United States,-0.51
"Jun 25, 2020",Luton,United Kingdom,-0.5
"Jun 25, 2020",San Diego,United States,-0.5
"Jun 25, 2020",San Francisco,United States,-0.5
"Jun 25, 2020",New Orleans,United States,-0.5
"Jun 25, 2020",Houston,United States,-0.5
"Jun 25, 2020",Santiago,Chile,-0.5
"Jun 25, 2020",Los Angeles,United States,-0.49
"Jun 25, 2020",San Antonio,United States,-0.49
"Jun 25, 2020",Recife,Brazil,-0.47
"Jun 25, 2020",Zapopan,Mexico,-0.47
"Jun 25, 2020",Puebla City,Mexico,-0.47
"Jun 25, 2020",Boston,United States,-0.47
"Jun 25, 2020",Guadalajara,Mexico,-0.47
"Jun 25, 2020",Phoenix,United States,-0.46
"Jun 25, 2020",San Jose,United States,-0.46
"Jun 25, 2020",Rio De Janeiro,Brazil,-0.46
"Jun 25, 2020",Dallas,United States,-0.46
"Jun 25, 2020",Portland,United States,-0.45
"Jun 25, 2020",Calgary,Canada,-0.44
"Jun 25, 2020",Krakow,Poland,-0.43
"Jun 25, 2020",Seattle,United States,-0.43
"Jun 25, 2020",Washington,United States,-0.42
"Jun 25, 2020",Belo Horizonte,Brazil,-0.42
"Jun 25, 2020",Madrid,Spain,-0.42
"Jun 25, 2020",Orlando,United States,-0.42
"Jun 25, 2020",Tampa,United States,-0.41
"Jun 25, 2020",Berlin,Germany,-0.41
"Jun 25, 2020",Porto Alegre,Brazil,-0.41
"Jun 25, 2020",Quezon City,Philippines,-0.41
"Jun 25, 2020",Sao Paulo,Brazil,-0.4
"Jun 25, 2020",Liverpool,United Kingdom,-0.4
"Jun 25, 2020",Oakland,United States,-0.39
"Jun 25, 2020",Ottawa,Canada,-0.39
"Jun 25, 2020",Fort Lauderdale,United States,-0.39
"Jun 25, 2020",Fortaleza,Brazil,-0.38
"Jun 25, 2020",Doha,Qatar,-0.38
"Jun 25, 2020",Toronto,Canada,-0.38
"Jun 25, 2020",Vaughan,Canada,-0.38
"Jun 25, 2020",Curitiba,Brazil,-0.38
"Jun 25, 2020",Tangerang,Indonesia,-0.38
"Jun 25, 2020",Amsterdam,Netherlands,-0.37
"Jun 25, 2020",Milan,Italy,-0.36
"Jun 25, 2020",Antwerp,Belgium,-0.36
"Jun 25, 2020",Baltimore,United States,-0.36
"Jun 25, 2020",Nashville,United States,-0.35
"Jun 25, 2020",Manchester,United Kingdom,-0.35
"Jun 25, 2020",Atlanta,United States,-0.35
"Jun 25, 2020",Raleigh,United States,-0.35
"Jun 25, 2020",Barcelona,Spain,-0.34
"Jun 25, 2020",Chicago,United States,-0.34
"Jun 25, 2020",Bristol,United Kingdom,-0.34
"Jun 25, 2020",Guarulhos,Brazil,-0.34
"Jun 25, 2020",Brussels,Belgium,-0.33
