Date,Country,% Change In Waze Driven Miles/KMs
"Jun 25, 2021",Malaysia,-0.59
"Jun 25, 2021",France,0.05
"Jun 25, 2021",United States,0.09
"Jun 25, 2021",Italy,0.22
"Jun 25, 2021",Spain,0.23
"Jun 24, 2021",Malaysia,-0.53
"Jun 24, 2021",United States,0.09
"Jun 24, 2021",Italy,0.27
"Jun 24, 2021",France,0.29
"Jun 24, 2021",Spain,0.38
"Jun 23, 2021",Malaysia,-0.52
"Jun 23, 2021",United States,0.03
"Jun 23, 2021",Italy,0.24
"Jun 23, 2021",France,0.29
"Jun 23, 2021",Spain,0.47
"Jun 22, 2021",Malaysia,-0.51
"Jun 22, 2021",United States,0.0
"Jun 22, 2021",Spain,0.23
"Jun 22, 2021",Italy,0.29
"Jun 22, 2021",France,0.29
"Jun 21, 2021",Malaysia,-0.51
"Jun 21, 2021",United States,0.05
"Jun 21, 2021",Spain,0.21
"Jun 21, 2021",France,0.28
"Jun 21, 2021",Italy,0.33
"Jun 20, 2021",Malaysia,-0.65
"Jun 20, 2021",France,0.22
"Jun 20, 2021",United States,0.22
"Jun 20, 2021",Spain,0.24
"Jun 20, 2021",Italy,0.45
"Jun 19, 2021",Malaysia,-0.67
"Jun 19, 2021",France,-0.03
"Jun 19, 2021",United States,0.12
"Jun 19, 2021",Spain,0.21
"Jun 19, 2021",Italy,0.4
"Jun 18, 2021",Malaysia,-0.6
"Jun 18, 2021",United States,0.1
"Jun 18, 2021",France,0.15
"Jun 18, 2021",Spain,0.18
"Jun 18, 2021",Italy,0.22
"Jun 17, 2021",Malaysia,-0.56
"Jun 17, 2021",United States,0.08
"Jun 17, 2021",Italy,0.17
"Jun 17, 2021",Spain,0.18
"Jun 17, 2021",France,0.24
"Jun 16, 2021",Malaysia,-0.53
"Jun 16, 2021",United States,0.04
"Jun 16, 2021",Italy,0.14
"Jun 16, 2021",Spain,0.18
"Jun 16, 2021",France,0.26
"Jun 15, 2021",Malaysia,-0.53
"Jun 15, 2021",United States,0.0
"Jun 15, 2021",Spain,0.12
"Jun 15, 2021",Italy,0.2
"Jun 15, 2021",France,0.25
"Jun 14, 2021",Malaysia,-0.54
"Jun 14, 2021",United States,0.02
"Jun 14, 2021",Spain,0.15
"Jun 14, 2021",Italy,0.21
"Jun 14, 2021",France,0.27
"Jun 13, 2021",Malaysia,-0.69
"Jun 13, 2021",United States,0.22
"Jun 13, 2021",Spain,0.33
"Jun 13, 2021",France,0.34
"Jun 13, 2021",Italy,0.38
"Jun 12, 2021",Malaysia,-0.7
"Jun 12, 2021",France,0.02
"Jun 12, 2021",United States,0.1
"Jun 12, 2021",Spain,0.2
"Jun 12, 2021",Italy,0.24
"Jun 11, 2021",Malaysia,-0.64
"Jun 11, 2021",United States,0.04
"Jun 11, 2021",Italy,0.12
"Jun 11, 2021",France,0.16
"Jun 11, 2021",Spain,0.19
"Jun 10, 2021",Malaysia,-0.6
"Jun 10, 2021",United States,0.04
"Jun 10, 2021",Italy,0.08
